Date,Close,Open,High,Low,Vol.,Change %,Cur
12/30/2022,0.128,0.1283,0.1283,0.128,,-0.17%,HKD
12/29/2022,0.1283,0.1283,0.1284,0.1282,,0.00%,HKD
12/28/2022,0.1283,0.1282,0.1284,0.1282,,0.07%,HKD
12/27/2022,0.1282,0.1281,0.1282,0.1281,,0.07%,HKD
12/26/2022,0.1281,0.1281,0.1281,0.1281,,0.00%,HKD
12/23/2022,0.1281,0.1283,0.1283,0.1281,,-0.12%,HKD
12/22/2022,0.1283,0.1283,0.1284,0.1282,,0.00%,HKD
12/21/2022,0.1283,0.1284,0.1284,0.1282,,-0.12%,HKD
12/20/2022,0.1284,0.1285,0.1286,0.1284,,-0.08%,HKD
12/19/2022,0.1285,0.1285,0.1286,0.1284,,0.00%,HKD
12/16/2022,0.1285,0.1286,0.1286,0.1284,,-0.09%,HKD
12/15/2022,0.1286,0.1287,0.1287,0.1285,,-0.05%,HKD
12/14/2022,0.1286,0.1286,0.1287,0.1285,,0.00%,HKD
12/13/2022,0.1286,0.1286,0.1287,0.1285,,0.00%,HKD
12/12/2022,0.1286,0.1284,0.1287,0.1284,,0.12%,HKD
12/9/2022,0.1284,0.1284,0.1285,0.1284,,0.00%,HKD
12/8/2022,0.1284,0.1283,0.1285,0.1283,,0.07%,HKD
12/7/2022,0.1283,0.1286,0.1287,0.1283,,-0.20%,HKD
12/6/2022,0.1286,0.1287,0.1288,0.1285,,-0.11%,HKD
12/5/2022,0.1287,0.1284,0.1288,0.1284,,0.28%,HKD
12/2/2022,0.1284,0.1285,0.1286,0.1284,,-0.12%,HKD
12/1/2022,0.1285,0.128,0.1286,0.128,,0.39%,HKD
11/30/2022,0.128,0.128,0.1282,0.128,,0.00%,HKD
11/29/2022,0.128,0.128,0.1281,0.1279,,0.04%,HKD
11/28/2022,0.128,0.128,0.128,0.1278,,0.00%,HKD
11/25/2022,0.128,0.1281,0.1281,0.1279,,-0.06%,HKD
11/24/2022,0.1281,0.1279,0.1281,0.1279,,0.13%,HKD
11/23/2022,0.1279,0.1279,0.128,0.1279,,0.00%,HKD
11/22/2022,0.1279,0.1282,0.1282,0.1279,,-0.18%,HKD
11/21/2022,0.1282,0.1279,0.1282,0.1278,,0.24%,HKD
11/18/2022,0.1278,0.1278,0.1279,0.1277,,0.06%,HKD
11/17/2022,0.1278,0.1278,0.1278,0.1277,,0.00%,HKD
11/16/2022,0.1278,0.1279,0.1279,0.1278,,-0.07%,HKD
11/15/2022,0.1279,0.1276,0.1279,0.1276,,0.21%,HKD
11/14/2022,0.1276,0.1276,0.1276,0.1275,,0.00%,HKD
11/11/2022,0.1276,0.1275,0.1276,0.1275,,0.11%,HKD
11/10/2022,0.1275,0.1274,0.1275,0.1274,,0.06%,HKD
11/9/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
11/8/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
11/7/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
11/4/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
11/3/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
11/2/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
11/1/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/31/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/28/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/27/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/26/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/25/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/24/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/21/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/20/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/19/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/18/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/17/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/14/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/13/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/12/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/11/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/10/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/7/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/6/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/5/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/4/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
10/3/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/30/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/29/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/28/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/27/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/26/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/23/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/22/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/21/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/20/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/19/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/16/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/15/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/14/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/13/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/12/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/9/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/8/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/7/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/6/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/5/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/2/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
9/1/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
8/31/2022,0.1274,0.1274,0.1274,0.1274,,0.00%,HKD
8/30/2022,0.1274,0.1274,0.1275,0.1274,,0.00%,HKD
8/29/2022,0.1274,0.1274,0.1275,0.1274,,0.00%,HKD
8/26/2022,0.1274,0.1274,0.1275,0.1274,,0.00%,HKD
8/25/2022,0.1274,0.1274,0.1275,0.1274,,0.00%,HKD
8/24/2022,0.1274,0.1274,0.1275,0.1274,,0.00%,HKD
8/23/2022,0.1274,0.1274,0.1275,0.1274,,0.00%,HKD
8/22/2022,0.1274,0.1275,0.1275,0.1274,,0.00%,HKD
8/19/2022,0.1275,0.1275,0.1275,0.1274,,0.00%,HKD
8/18/2022,0.1275,0.1275,0.1275,0.1275,,0.00%,HKD
8/17/2022,0.1275,0.1275,0.1276,0.1275,,0.00%,HKD
8/16/2022,0.1275,0.1276,0.1276,0.1275,,-0.05%,HKD
